SalesID,VehicleID,CustomerID,OrderDate,OrderMonth,OrderYear
1,308,1,17,8,2017
2,34,2,16,4,1996
3,555,3,14,3,2003
4,656,4,26,2,2005
5,669,5,25,6,2010
6,374,6,8,7,2015
7,793,7,18,1,1994
8,509,8,6,7,2006
9,852,9,22,4,2020
10,474,10,29,10,2001
11,488,11,28,6,2013
12,420,12,11,1,2017
13,663,13,8,3,2002
14,707,14,26,2,1991
15,3,15,25,2,2003
16,519,16,5,8,2001
17,842,17,22,7,2018
18,550,18,5,1,2011
19,999,19,3,2,2003
20,778,20,24,5,2003
21,518,21,5,6,1997
22,967,22,7,10,2019
23,602,23,8,11,2009
24,875,24,13,10,1999
25,229,25,4,11,2011
26,765,26,6,4,2005
27,229,27,16,5,2009
28,725,28,21,3,1996
29,466,29,20,10,2001
30,672,30,14,5,2009
31,918,31,19,4,1998
32,176,32,12,9,2007
33,235,33,25,3,2010
34,888,34,21,8,2000
35,812,35,29,1,2003
36,802,36,6,3,2017
37,3,37,24,2,1996
38,520,38,14,8,2013
39,738,39,9,9,1994
40,882,40,2,4,2015
41,722,41,25,5,2017
42,517,42,18,4,2013
43,979,43,17,7,2010
44,440,44,28,10,2012
45,386,45,13,4,2001
46,262,46,18,1,2013
47,199,47,13,11,2008
48,945,48,16,5,2013
49,677,49,7,8,2019
50,821,50,11,5,2001
51,486,51,12,3,2019
52,920,52,29,4,2014
53,455,53,2,9,2004
54,781,54,28,7,1993
55,786,55,19,8,1992
56,702,56,21,9,2003
57,124,57,24,11,1997
58,253,58,26,10,1990
59,53,59,26,10,2016
60,363,60,4,10,1996
61,112,61,4,2,2017
62,779,62,29,11,2012
63,653,63,17,2,1995
64,677,64,9,8,2014
65,582,65,23,10,1993
66,980,66,3,6,2008
67,152,67,22,5,2017
68,46,68,20,9,2011
69,795,69,14,11,2007
70,556,70,27,8,1994
71,831,71,8,7,2010
72,684,72,21,4,2013
73,205,73,4,4,2007
74,283,74,21,3,1990
75,610,75,17,9,1991
76,576,76,3,8,2019
77,826,77,15,5,1996
78,319,78,4,3,2010
79,129,79,20,4,2012
80,512,80,25,10,2003
81,375,81,19,8,2018
82,400,82,6,5,1992
83,214,83,28,11,2020
84,168,84,18,7,2013
85,566,85,18,10,1995
86,305,86,4,5,1992
87,891,87,18,5,2008
88,437,88,16,6,2013
89,652,89,9,8,2018
90,396,90,23,7,2009
91,99,91,10,1,2001
92,163,92,7,6,2006
93,126,93,16,2,2017
94,18,94,21,2,1997
95,198,95,18,1,2014
96,746,96,24,8,2011
97,443,97,6,4,2016
98,934,98,19,4,2014
99,48,99,6,1,2020
100,127,100,3,11,2010
101,117,101,27,6,2018
102,366,102,18,9,2018
103,152,103,13,9,2014
104,723,104,23,10,1999
105,682,105,10,11,2019
106,879,106,19,7,2005
107,179,107,11,10,2015
108,633,108,5,2,1993
109,676,109,11,8,2015
110,331,110,22,4,2015
111,468,111,13,8,2005
112,895,112,17,1,1998
113,311,113,23,4,2015
114,154,114,28,9,2005
115,343,115,29,8,1990
116,756,116,27,4,2020
117,319,117,18,2,2000
118,120,118,3,11,2019
119,985,119,3,6,2004
120,911,120,3,7,2009
121,270,121,18,6,2016
122,860,122,9,11,2012
123,587,123,6,6,2001
124,9,124,10,1,2006
125,117,125,22,2,1998
126,440,126,22,2,1997
127,825,127,11,10,1991
128,472,128,10,7,1998
129,374,129,4,9,1995
130,416,130,14,2,1990
131,647,131,12,9,2019
132,592,132,18,11,2010
133,10,133,28,4,1995
134,900,134,10,2,2006
135,447,135,8,1,2005
136,474,136,27,3,1998
137,603,137,7,11,2017
138,567,138,27,2,2010
139,599,139,5,7,1991
140,967,140,6,8,1996
141,413,141,5,1,2006
142,974,142,12,4,1991
143,925,143,6,8,1994
144,439,144,19,6,2013
145,165,145,15,4,2001
146,629,146,2,2,1993
147,812,147,20,7,2012
148,684,148,5,7,1997
149,616,149,24,2,1999
150,848,150,21,4,1996
151,858,151,27,11,2001
152,193,152,29,3,2020
153,621,153,26,10,2004
154,863,154,8,7,2001
155,49,155,28,8,1998
156,809,156,19,5,2014
157,634,157,14,6,2009
158,527,158,7,10,2003
159,209,159,4,6,2011
160,61,160,22,10,2015
161,466,161,18,2,2014
162,277,162,4,5,2000
163,218,163,21,3,2017
164,997,164,1,5,1997
165,554,165,6,9,2012
166,445,166,17,5,2002
167,991,167,13,3,2012
168,758,168,26,4,1999
169,53,169,26,10,1996
170,509,170,17,6,2006
171,92,171,6,5,2014
172,955,172,1,5,1996
173,724,173,9,2,2016
174,18,174,6,5,2017
175,155,175,21,9,2016
176,845,176,19,7,2000
177,406,177,29,10,1993
178,181,178,6,8,2020
179,697,179,6,7,1997
180,166,180,19,5,2020
181,964,181,2,1,2004
182,730,182,14,4,2016
183,498,183,28,1,2014
184,774,184,19,8,2003
185,608,185,3,5,2020
186,168,186,10,1,2006
187,555,187,6,2,2015
188,561,188,4,8,2005
189,277,189,24,10,2014
190,634,190,4,7,2019
191,679,191,29,7,1997
192,152,192,28,3,1991
193,514,193,6,8,1992
194,245,194,14,9,2009
195,27,195,15,11,2007
196,289,196,14,4,2001
197,225,197,16,6,2019
198,748,198,26,9,2005
199,475,199,13,4,1996
200,725,200,23,5,2009
201,970,201,4,4,2001
202,491,202,19,3,2015
203,999,203,8,9,1994
204,185,204,2,8,1996
205,669,205,8,1,2009
206,422,206,8,4,2009
207,369,207,5,7,2014
208,142,208,19,10,1997
209,115,209,9,7,1995
210,162,210,27,10,2008
211,272,211,20,11,2004
212,125,212,20,4,2003
213,783,213,3,6,2004
214,768,214,23,3,2012
215,801,215,20,1,2000
216,25,216,14,8,2001
217,372,217,16,1,2017
218,463,218,15,1,2013
219,379,219,13,4,2012
220,289,220,25,6,2011
221,825,221,6,1,1991
222,97,222,13,6,2001
223,107,223,25,5,2004
224,910,224,16,7,2014
225,7,225,17,2,2008
226,633,226,13,11,1999
227,48,227,23,2,2000
228,416,228,14,5,2020
229,186,229,9,6,2016
230,455,230,19,4,2019
